Rydberg_B_MHz,fidelity,T_gate,tau_ratio,amp_Omega_r,amp_Delta_r
500,0.9966761612842598,1.1213106489245943,0.175,62.905989716284495,92.21012621026415
600,0.9972674240572952,1.1999999999999997,0.175,62.83185307179586,99.5454165706646
700,0.9981157108376656,1.0485866549417902,0.175,62.83185307179586,108.16065662044358
800,0.9981763019524703,1.199317222921311,0.175,62.83520072529841,99.42966536044239
900,0.9985761183853432,1.0565114635088204,0.175,62.83185307179586,108.60776495499226
1000,0.998600223907631,1.1964920282810738,0.175,62.83185307179586,100.18805431104738
1250,0.998721179922597,1.1953686529014753,0.175,64.04910501414146,121.6441063507169
1500,0.9986952990650364,1.1987553712437484,0.175,71.09814233926451,158.44997469214616
1750,0.9988146674434671,1.100173936055317,0.175,79.39209536371271,174.82851125894416
2000,0.9989288386744981,1.050688739399936,0.175,83.33487680351567,181.48785124637303
2500,0.9990916816570536,1.0618010736171337,0.175,83.74029276878787,178.53361546375947
3000,0.9991863420510874,1.031287464056843,0.175,86.64077394384337,182.75977427820575
